GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
finance-app,validators,UserValidator,0,39,0,6,0,13,0,6,0,3
finance-app,utilites,PasswordHasher,9,43,0,2,3,6,1,2,1,1
finance-app,model,History,62,23,6,0,17,7,5,3,2,3
finance-app,model,Wallet,0,54,0,0,0,17,0,9,0,9
finance-app,model,UserData,4,22,0,0,2,8,1,5,1,5
finance-app,model,OperationType,0,15,0,0,0,3,0,1,0,1
finance-app,model,Period,33,0,0,0,6,0,1,0,1,0
finance-app,model,User,6,10,0,0,3,5,1,3,1,3
finance-app,model,Wallet.CategoryInfo,44,53,0,0,14,20,4,10,4,10
finance-app,model,Operation,24,12,0,0,11,5,7,1,7,1
finance-app,services,UserDataService,90,62,7,1,26,16,5,4,1,4
finance-app,services,AuthService,104,45,7,1,28,14,5,4,1,4
finance-app,services,WalletService,223,277,38,19,58,65,32,12,6,7
